sent_id,sys_name,test_set,bleu,sari,sari_add,sari_keep,sari_del,ibleu,amean_bleu_sari,gmean_bleu_sari,fkgl,fkbleu,word_length,bertscore_P,bertscore_R,bertscore_F1,samsa,amean_bleu_samsa,amean_sari_samsa,amean_bleu_sari_samsa,gmean_bleu_samsa,gmean_sari_samsa,gmean_bleu_sari_samsa
80,SBMT-SARI,turk,60.86010749102558,34.764661417570316,0.0,63.81779377652046,40.476190476190474,48.688085992820476,47.812384454297955,45.99761983801379,14.183333333333335,19.57813529570501,36,0.7027149796485901,0.7164453268051147,0.7100437879562378,8.564814814814811,34.7124611529202,21.664738116192563,34.7298612411369,22.83102166505822,17.25551758543415,26.266138631406335
80,SBMT-SARI,hsplit,44.68693325850703,29.35216357888268,0.0,64.52598478426708,23.530505952380953,34.18538720686614,37.01954841869485,36.216821710944096,14.183333333333335,13.746404735868671,36,0.6039613485336304,0.5271037817001343,0.5659685134887695,8.564814814814811,26.62587403666092,18.958489196848745,27.534637217401507,19.563622057305796,15.855467368301762,22.396468783187537
81,PBMT-R,asset,69.84502320788457,45.43146421467102,6.004098960620699,63.92124606434474,66.3690476190476,57.08512066964224,57.6382437112778,56.330823466747525,3.9250000000000007,15.382281228449571,16,0.7515832781791687,0.7593330144882202,0.75395667552948,100.0,84.92251160394228,72.71573210733551,71.75882914085186,83.57333498663593,67.40286656713575,68.20728038108787
81,PBMT-R,turk,66.05534462948886,42.97949676793874,3.077601410934744,69.77829960716716,56.082589285714285,53.67440994908611,54.51742069871379,53.28250623805337,3.9250000000000007,14.463223672346638,16,0.7586844563484192,0.711883008480072,0.7316647171974182,100.0,83.02767231474442,71.48974838396937,69.67828046580921,81.27443917338888,65.55874981109596,65.72386521064271
81,PBMT-R,hsplit,58.83398368397459,47.923956676224286,43.655092680338115,47.010508617066,53.10626873126874,51.180979202746,53.37897018009944,53.09950362442651,3.9250000000000007,13.791338380453697,16,0.799362063407898,0.6812130212783813,0.7400932908058167,100.0,79.4169918419873,73.96197833811215,68.91931345339962,76.7033139336069,69.22713100817074,65.57329002868634
81,SBMT-BLEU,asset,54.23782837718301,37.47852798567079,12.134744767067447,42.82356646267221,57.47727272727272,45.36683957227547,45.858178181426894,45.08607289081922,1.712500000000002,1.7600799503636668,16,0.6687377691268921,0.7419160008430481,0.6806631684303284,83.33333333333333,68.78558085525816,60.40593065950206,58.3498965653957,67.22959936986028,55.88569285132437,55.33091564415772
81,SBMT-BLEU,turk,41.113361690051974,27.85775014072677,4.617537313432836,38.77578886632321,40.17992424242424,33.554819553857534,34.48555591538937,33.842661795532514,1.712500000000002,1.301813520439884,16,0.6446789503097534,0.6250383853912354,0.6309895515441895,83.33333333333333,62.22334751169265,55.59554173703005,50.76814838803735,58.53301183239251,48.18173075340796,45.69997128980268
81,SBMT-BLEU,hsplit,34.47205967189252,43.23269690590623,15.595238095238097,60.45701928914721,53.64583333333334,28.533706591787762,38.852378288899374,38.604664323333296,1.712500000000002,1.1070113182946208,16,0.6799101829528809,0.5349677801132202,0.6071277856826782,83.33333333333333,58.902696502612926,63.283015119619776,53.679363303710694,53.59731000082351,60.022701889858766,49.89221344722902
81,SBMT-FKBLEU,asset,84.08964152537146,47.986343580206395,2.0,65.2923640739525,76.66666666666667,67.39819984150327,66.03799255278892,63.52286540902311,4.228235294117649,22.451533922216573,17,0.8752946257591248,0.9470064043998718,0.8787789344787598,100.0,92.04482076268573,73.99317179010319,77.35866170185928,91.70040432046714,69.27217592959413,73.89585074617177
81,SBMT-FKBLEU,turk,82.82477531331044,41.59651342766811,0.0,70.62287361633767,54.16666666666666,66.25982025064836,62.210644370489256,58.696012457949045,4.228235294117649,22.07231952093371,17,0.8266976475715637,0.909659504890442,0.8663288950920105,100.0,91.41238765665523,70.79825671383405,74.80709624699286,91.00811794192347,64.495359079292,70.10339738957225
81,SBMT-FKBLEU,hsplit,76.24658586234858,64.82594554163731,45.82101806239736,80.37556856251456,68.28125,64.63724614448614,70.53626570199295,70.30474395692221,4.228235294117649,21.53181135199923,17,0.9389103651046752,0.8754571676254272,0.9071614742279052,100.0,88.12329293117429,82.41297277081866,80.3575104679953,87.31929103144884,80.51456113128687,79.06599742060935
81,SBMT-SARI,asset,76.73071548877977,49.38246647758681,1.851851851851852,66.71221424757526,79.58333333333333,61.515784361558254,63.05659098318328,61.55608812640647,2.145882352941179,3.6053776283193666,17,0.8519153594970703,0.9421271681785583,0.8728090524673462,83.33333333333333,80.03202441105654,66.35789990546007,69.81550509989997,79.9639061747964,64.14986780811711,68.0957895575839
81,SBMT-SARI,turk,76.73071548877977,43.16544077366861,1.6666666666666667,70.01715565433915,57.8125,61.515784361558254,59.948078131224186,57.5509787488635,2.145882352941179,3.6053776283193666,17,0.8170593976974487,0.8943432569503784,0.8556796312332153,83.33333333333333,80.03202441105654,63.24938705350097,67.7431631985939,79.9639061747964,59.975995735563956,65.1090552901798
81,SBMT-SARI,hsplit,68.89656775362825,57.6426987417968,41.94099378881988,71.92054399501207,59.066558441558435,58.65620689875069,63.269633247712534,63.018918582963494,2.145882352941179,3.4377806982329906,17,0.9157511591911316,0.8432441949844359,0.8794665336608887,83.33333333333333,76.11495054348079,70.48801603756506,69.95753327625279,75.77189878929843,69.30770684767364,69.17038859621601
82,PBMT-R,asset,63.96679416047653,43.303776260344065,0.0,72.18405605375945,57.72727272727273,51.17343532838122,53.6352852104103,52.630825021243574,8.792000000000002,22.787689362455268,25,0.7858085036277771,0.8304415345191956,0.7755348682403564,100.0,81.98339708023826,71.65188813017204,69.09019014027353,79.97924365763689,65.8056048223433,65.18686850868225
82,PBMT-R,turk,63.96679416047653,35.95278597479537,0.0,79.35457004559822,28.50378787878788,51.17343532838122,49.95979006763596,47.95606802006816,8.792000000000002,22.787689362455268,25,0.7782290577888489,0.8377805948257446,0.8005715608596802,100.0,81.98339708023826,67.97639298739769,66.63986004509063,79.97924365763689,59.96064207027421,61.26734278250285
82,PBMT-R,hsplit,54.969636446969616,67.77062691912116,42.611607142857146,73.31848357791753,87.3817900365888,47.806467460178794,61.370131683045386,61.0354546434063,8.792000000000002,21.288368134915704,25,0.7613619565963745,0.7185181975364685,0.7306109070777893,100.0,77.48481822348481,83.88531345956058,74.24675445536359,74.1415109415566,82.32291717323993,71.95397472297996
