sent_id,sys_name,test_set,bleu,sari,sari_add,sari_keep,sari_del,ibleu,amean_bleu_sari,gmean_bleu_sari,fkgl,fkbleu,word_length,bertscore_P,bertscore_R,bertscore_F1,samsa,amean_bleu_samsa,amean_sari_samsa,amean_bleu_sari_samsa,gmean_bleu_samsa,gmean_sari_samsa,gmean_bleu_sari_samsa
1,NTS-h1_default_model,asset,100.00000000000004,23.94559780236798,0.0,71.83679340710395,0.0,80.00000000000004,61.97279890118403,48.934239344622476,19.42777777777778,40.00000000000002,36,0.8991588950157166,0.923863649368286,0.8920655846595764,50.0,75.00000000000003,36.97279890118399,57.98186593412267,70.71067811865478,34.601732472788115,49.28694458118918
1,NTS-h1_default_model,turk,100.00000000000004,26.280877287257024,0.0,78.84263186177105,0.0,80.00000000000004,63.14043864362854,51.264878120655915,19.42777777777778,40.00000000000002,36,1.0,1.0,1.0,50.0,75.00000000000003,38.140438643628514,58.76029242908569,70.71067811865478,36.24974295581765,50.83973610426706
1,NTS-h1_default_model,hsplit,82.83991146060845,75.64540825627661,48.37526205450733,84.08311326114412,94.47784945317841,69.43763528928972,79.24265985844252,79.16096842732239,19.42777777777778,34.71881764464486,36,0.875092625617981,0.7589082121849059,0.8167096376419067,50.0,66.41995573030422,62.822704128138305,69.49510657229501,64.35833724569349,61.50016595761208,67.91995671982127
2,NTS-h1_default_model,asset,85.35548410178238,44.779308365319345,6.712752919649472,64.18767217630854,63.4375,69.18245227536943,65.06739623355085,61.82361638779168,11.765714285714285,17.37106282602267,28,0.8412792086601257,0.8972328305244446,0.8650395274162292,30.555555555555554,57.95551982866897,37.66743196043745,53.56344934088576,51.069406070986865,36.98995329134477,48.880202739454035
2,NTS-h1_default_model,turk,86.45707301556368,49.72696582207485,6.823969139133737,74.7788033270908,67.578125,70.1738822977726,68.09201941881926,65.56865039728639,11.765714285714285,17.620001576245347,28,0.8311697244644165,0.8617942333221436,0.8214278817176819,30.555555555555554,58.50631428555962,40.1412606888152,55.579864797731354,51.39789779453804,38.979931590314784,50.83477331074647
2,NTS-h1_default_model,hsplit,60.359118898952474,60.51969460247133,22.4898538961039,74.55801196259212,84.51121794871796,48.189562274885034,60.439406750711896,60.43935342340173,11.765714285714285,14.501847765562193,28,0.763563334941864,0.5467627048492432,0.6536204814910889,30.555555555555554,45.457337227254015,45.537625079013445,50.478123018993124,42.94538870241279,43.00247540120299,48.1478170029713
3,NTS-h1_default_model,asset,83.94327083733333,24.45474320118315,0.0,73.36422960354945,0.0,65.5489437536,54.19900701925824,45.30795881293212,5.196666666666669,32.7744718768,18,0.9582813382148744,0.9582841992378236,0.9583505392074584,100.0,91.97163541866666,62.227371600591574,69.46600467950549,91.62056037666075,49.45173728109374,58.99062507170895
3,NTS-h1_default_model,turk,100.00000000000004,29.66569682907684,0.0,88.99709048723051,0.0,80.00000000000004,64.83284841453843,54.46622515750183,5.196666666666669,40.00000000000002,18,0.9999996423721312,0.9999996423721312,0.9999996423721312,100.0,100.00000000000003,64.83284841453842,76.55523227635896,100.00000000000004,54.46622515750183,66.69370609780684
3,NTS-h1_default_model,hsplit,93.91044157537529,80.12312608264631,48.310642658468744,97.05873558947022,95.0,78.04929031706678,87.01678382901079,86.7432887941239,5.196666666666669,39.02464515853339,18,0.9594865441322328,0.9276817440986632,0.9436325430870056,100.0,96.95522078768764,90.06156304132315,91.34452255267387,96.90739991113956,89.51152220951576,90.95444385149204
4,NTS-h1_default_model,asset,95.26201829549022,20.922549626908182,0.0,62.767648880724536,0.0,75.7358164659412,58.09228396119921,44.64442076393004,9.830526315789477,37.8679082329706,19,0.9472241997718812,0.9476088285446168,0.9475021362304688,33.33333333333333,64.29767581441178,27.127941480120754,49.83930041857724,56.35069307337463,26.408678893442197,40.5014939945538
