sent_id,sys_name,test_set,bleu,sari,sari_add,sari_keep,sari_del,ibleu,amean_bleu_sari,gmean_bleu_sari,fkgl,fkbleu,bertscore_P,bertscore_R,bertscore_F1,samsa,amean_bleu_samsa,amean_sari_samsa,amean_bleu_sari_samsa,gmean_bleu_samsa,gmean_sari_samsa,gmean_bleu_sari_samsa
145,PBMT-R,asset,80.14122715140174,48.90481325305468,0.0,68.53586833059262,78.17857142857143,66.1550698107654,64.52302020222821,62.6042470421132,4.92235294117647,2.890685426605772,0.6812081336975098,0.7056227922439575,0.6885821223258972,13.88888888888889,47.01505802014531,31.396851070971785,47.644976431115104,33.3627426828944,26.062108844134954,37.89876275646361
145,PBMT-R,turk,67.60821327065467,44.20480304609168,0.0,55.1888139001798,77.42559523809524,54.875357318093045,55.90650815837318,54.668160312264526,4.92235294117647,2.3978116285410156,0.6033348441123962,0.6575863361358643,0.6211017370223999,13.88888888888889,40.74855107977178,29.046845967490285,41.90063506854508,30.643155224167543,24.77812740830881,34.62412503245649
145,PBMT-R,hsplit,67.26450382031888,55.988248743075275,20.07483225848479,79.44211177293884,68.4478021978022,56.336041554566485,61.62637628169708,61.367921355310315,4.92235294117647,2.4616371017409464,0.6773992776870728,0.49149930477142334,0.5819975137710571,13.88888888888889,40.57669635460388,34.93856881598208,45.71388048409435,30.565163499098972,27.885741264596962,37.39814920662523
145,PBMT-R,all,80.14122715140174,47.92421388892765,0.0,67.85453199867331,75.91810966810966,66.1550698107654,64.0327205201647,61.97342423430316,4.92235294117647,2.890685426605772,0.6812081336975098,0.7056227922439575,0.6885821223258972,13.88888888888889,47.01505802014531,30.90655138890827,47.3181099764061,33.3627426828944,25.7994977042318,37.64374560918574
100,PBMT-R,asset,67.39047062564734,47.53905674053279,14.484967019481514,63.048869868783505,65.08333333333334,56.71386825253127,57.46476368309007,56.60105482094711,7.7883333333333375,0.6159631144369919,0.8255221247673035,0.902420163154602,0.8352767825126648,62.5,64.94523531282367,55.0195283702664,59.143175788726715,64.89918654423151,54.50863276842762,58.502760035142295
100,PBMT-R,turk,46.892438882117254,48.39669242501154,3.748020947509439,69.56705632752518,71.875,38.26563968335419,47.6445656535644,47.63862867082218,7.7883333333333375,0.4155989235354371,0.7851084470748901,0.9083585143089294,0.8370609283447266,62.5,54.69621944105863,55.44834621250577,52.596377102376266,54.1366551435562,54.99812066392109,52.15142423687186
100,PBMT-R,hsplit,46.892438882117254,41.31961992256111,20.24132730015083,74.96753246753248,28.749999999999996,39.04964094141539,44.10602940233918,44.01792534696531,7.7883333333333375,0.42411387537204265,0.7812150716781616,0.775679349899292,0.7788058519363403,62.5,54.69621944105863,51.90980996128056,50.23735293489278,54.1366551435562,50.81807006528357,49.47430690440808
100,PBMT-R,all,67.39047062564734,46.70843773131523,9.904992561611312,67.98547214748591,62.234848484848484,56.71386825253127,57.049454178481284,56.104399122547214,7.7883333333333375,0.6159631144369919,0.8255217671394348,0.9083581566810608,0.8370609283447266,62.5,64.94523531282367,54.604218865657614,58.86630278565419,64.89918654423151,54.03033738750113,58.16002922421539
25,PBMT-R,asset,72.00526698549298,41.37476439977245,2.0878721859114013,64.37164828613324,57.66477272727273,57.956951143886215,56.69001569263271,54.58205709816632,14.221250000000001,9.316336564186917,0.709132730960846,0.7259824872016907,0.7180044054985046,25.0,48.50263349274649,33.18738219988623,46.12667712842181,42.42795864329705,32.16160925691237,42.07394832004965
25,PBMT-R,turk,72.3357412386744,41.972987537176294,3.1337621156384485,78.66588231407225,44.11931818181818,58.25437797174949,57.15436438792535,55.10124468197876,14.221250000000001,9.364146678019745,0.7328833937644958,0.7562124729156494,0.744939386844635,25.0,48.6678706193372,33.48649376858815,46.43624292528356,42.5252105340686,32.39328153227777,42.340333620398596
25,PBMT-R,hsplit,61.09966258667304,58.06569031335889,28.299162042330106,63.4310528371405,82.46685606060606,51.68499325728578,59.58267645001597,59.5633619434672,14.221250000000001,8.30814566672388,0.6458187103271484,0.5458996295928955,0.5960632562637329,25.0,43.049831293336524,41.53284515667944,48.055117633343976,39.08313657662121,38.10042332880269,44.596366034462875
25,PBMT-R,all,74.63192414956329,38.85216085701632,1.3721373202196523,70.12273072898749,45.0616145218418,60.320942591549496,56.74204250328981,53.848041024047234,14.221250000000001,9.696338264183414,0.7328830361366272,0.7562121152877808,0.7449390292167664,25.0,49.815962074781645,31.92608042850816,46.161361668859875,43.19488515714657,31.16575077589833,41.69589257950114
299,Dress-Ls,asset,34.48444257953326,40.91652035592492,3.3333333333333335,60.77039440110812,58.64583333333333,28.227306438300023,37.70048146772909,37.5630589378474,5.806666666666668,0.005706765685843941,0.6574711799621582,0.5377289652824402,0.5976048111915588,12.5,23.49222128976663,26.70826017796246,29.30032097848606,20.76187689598813,22.615404140741358,26.030188042059496
299,Dress-Ls,turk,35.65506208559251,33.69692630224916,5.0,46.35119557341414,49.73958333333333,29.280863993753353,34.675994193920836,34.66216957145541,5.806666666666668,0.00591976532570206,0.6828208565711975,0.5355082750320435,0.6088194251060486,12.5,24.077531042796256,23.09846315112458,27.283996129280556,21.11133051396587,20.523439740406932,24.672159615869237
299,Dress-Ls,hsplit,0.0,28.083614392598065,13.974591651542651,16.26984126984127,54.00641025641026,-0.583754291460312,14.041807196299033,0.0,5.806666666666668,-0.0004074305873433188,0.5710510015487671,0.10065969824790955,0.3228182792663574,12.5,6.25,20.291807196299033,13.527871464199356,0.0,18.736199718925818,0.0
299,Dress-Ls,all,38.827267775222325,33.60561678901982,5.354166666666667,47.18301198322107,48.279671717171716,32.13584911442019,36.21644228212107,36.12221313567014,5.806666666666668,0.006496962840308337,0.6828212141990662,0.5377289652824402,0.6088197827339172,12.5,25.663633887611162,23.05280839450991,28.310961521414047,22.03045272322562,20.49561440559291,25.360213468258898
188,Dress-Ls,asset,94.43559032906596,47.793766464466465,1.305916305916306,59.36704975414975,82.70833333333334,75.67364648500453,71.11467839676621,67.1820850385086,19.286666666666665,26.72576158348457,0.856709361076355,0.8308783769607544,0.8440182209014893,25.0,59.71779516453298,36.396883232233236,55.74311893117747,48.58898803460152,34.56651792720321,48.32245479220613
